"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.07986709943474,0.842,0.589,0,"0","PKM"
0,2.51127026232156,0.319,0.067,0,"0","TTC7A"
0,1.88709359946422,0.362,0.11,0,"0","TXNDC17"
0,1.21769065483578,0.96,0.708,0,"0","ITGB2"
0,4.09884438964295,0.269,0.018,0,"0","SLC15A3"
0,1.68518828223589,0.342,0.091,0,"0","CMIP"
0,2.6352410686106,0.304,0.053,0,"0","SLC16A3"
0,2.04741710744803,0.987,0.737,0,"0","S100A10"
0,1.07760327916093,0.754,0.504,0,"0","ARPC5"
0,3.3240522554741,0.276,0.026,0,"0","SLC31A2"
0,1.42487348500472,0.486,0.237,0,"0","HEBP2"
0,1.7184011972596,0.389,0.14,0,"0","PLCB2"
0,2.11357614346944,0.339,0.091,0,"0","NBEAL2"
0,2.25342180403208,0.329,0.081,0,"0","TET2"
0,2.555393613987,0.308,0.061,0,"0","C9orf72"
0,2.15955236488925,0.32,0.073,0,"0","UNC93B1"
0,1.17822423466329,0.603,0.356,0,"0","PSMB3"
0,2.2612284331995,0.327,0.08,0,"0","PDXK"
0,1.19134019955405,0.399,0.153,0,"0","MFSD1"
0,3.34326766764705,0.278,0.032,0,"0","NACC2"
0,1.5013448955596,0.421,0.175,0,"0","LAMTOR2"
0,0.899344507227613,0.615,0.37,0,"0","PTPN6"
0,1.65139053367343,0.403,0.159,0,"0","GPCPD1"
0,1.62520719408679,0.397,0.154,0,"0","AGTPBP1"
0,2.75548035676981,0.29,0.047,0,"0","RHOQ"
0,2.07585989199604,0.344,0.101,0,"0","AGFG1"
0,0.897459743760491,0.672,0.43,0,"0","KLF6"
0,5.42541432327539,0.25,0.008,0,"0","DYSF"
0,2.18442530572876,0.325,0.083,0,"0","DENND5A"
0,1.54543817515155,0.391,0.15,0,"0","MYD88"
0,4.99489317070775,0.251,0.01,0,"0","CCR1"
0,1.96586994043408,0.342,0.102,0,"0","BCL2A1"
0,1.2134708073998,0.454,0.214,0,"0","PPP1R15A"
0,2.35513508868667,0.323,0.083,0,"0","PHC2"
0,1.89019233731569,0.356,0.116,0,"0","TOM1"
0,2.0596738907492,0.331,0.092,0,"0","ZDHHC7"
0,1.59533192017145,0.389,0.15,0,"0","C20orf27"
0,2.1126244544482,1,0.761,0,"0","S100A4"
0,2.23362722136956,0.311,0.072,0,"0","C15orf39"
0,1.20632301403811,0.863,0.624,0,"0","EIF4A1"
0,2.47723064083342,0.299,0.06,0,"0","PPP1R9B"
0,1.03935929075611,0.599,0.36,0,"0","PLP2"
0,1.71444092422782,0.37,0.132,0,"0","TNFSF10"
0,2.27517334224947,0.31,0.072,0,"0","PLIN3"
0,0.952455850521528,0.613,0.376,0,"0","LAMTOR1"
0,2.08463711001284,0.327,0.091,0,"0","TMEM205"
0,4.05021093910245,0.256,0.02,0,"0","AC020916.1"
0,1.27543403986431,0.505,0.269,0,"0","DPYD"
0,1.89692282264036,0.345,0.109,0,"0","MAP3K3"
0,2.19299773840817,0.315,0.08,0,"0","PRKACA"
0,1.54769628109512,0.387,0.153,0,"0","IFNGR1"
0,1.18052198469657,0.387,0.153,0,"0","CUX1"
0,3.43318147845391,0.254,0.02,0,"0","LILRB4"
0,2.20059286630319,0.312,0.078,0,"0","SNX27"
0,1.14262566625195,0.541,0.308,0,"0","DOCK8"
0,2.21142798471353,0.277,0.044,0,"0","CORO1C"
0,3.84149713672485,0.255,0.022,0,"0","IER3"
0,1.60977597758648,0.37,0.137,0,"0","IMPDH1"
0,2.13088123954642,0.991,0.758,0,"0","GABARAP"
0,1.81494337562896,0.312,0.079,0,"0","METRNL"
0,1.80547646325699,0.335,0.103,0,"0","GNAQ"
0,3.56293001791818,0.255,0.023,0,"0","CYFIP1"
0,1.63725942878247,0.371,0.141,0,"0","HEXB"
0,1.50218545037829,0.392,0.162,0,"0","CLTC"
0,1.050319129561,0.603,0.374,0,"0","ADGRE5"
0,0.619577469645745,0.541,0.313,0,"0","FERMT3"
0,3.27316092450607,0.259,0.031,0,"0","ETS2"
0,1.88841465047996,0.31,0.082,0,"0","PIK3AP1"
0,1.70853397816819,0.356,0.128,0,"0","NUMB"
0,2.65142197572688,0.277,0.052,0,"0","OSBPL11"
0,1.08640532792443,0.526,0.301,0,"0","RNH1"
0,3.36467633382788,0.25,0.025,0,"0","ENTPD1"
0,1.44533094064407,0.409,0.184,0,"0","IRF2BP2"
0,1.5008807487756,0.376,0.152,0,"0","ATOX1"
0,1.45845464370155,0.392,0.168,0,"0","UBE2R2"
0,1.67773159944381,0.346,0.122,0,"0","PRDX3"
0,2.59946983706117,0.275,0.052,0,"0","MXD1"
0,2.55640502121361,0.265,0.042,0,"0","SCIMP"
0,0.901331730950479,0.637,0.416,0,"0","IER2"
0,2.09358574983204,0.3,0.079,0,"0","AMPD2"
0,1.24325564593675,0.423,0.202,0,"0","ATG3"
0,1.16650738131999,0.887,0.666,0,"0","ELOB"
0,1.93427160700262,0.326,0.106,0,"0","PER1"
0,1.96847628953772,0.312,0.092,0,"0","CPD"
0,1.27909722736405,0.401,0.182,0,"0","RAB10"
